winery,region_1,province,country
Nicosia,Etna,Sicily & Sardinia,Italy
Quinta dos Avidagos,,Douro,Portugal
Rainstorm,Willamette Valley,Oregon,US
St. Julian,Lake Michigan Shore,Michigan,US
Sweet Cheeks,Willamette Valley,Oregon,US
Tandem,Navarra,Northern Spain,Spain
Terre di Giurfo,Vittoria,Sicily & Sardinia,Italy
Trimbach,Alsace,Alsace,France
Heinz Eifel,,Rheinhessen,Germany
Jean-Baptiste Adam,Alsace,Alsace,France
Kirkland Signature,Napa Valley,California,US
Leon Beyer,Alsace,Alsace,France
Louis M. Martini,Alexander Valley,California,US
Masseria Setteporte,Etna,Sicily & Sardinia,Italy
Mirassou,Central Coast,California,US
Richard Böcking,,Mosel,Germany
Felix Lavaque,Cafayate,Other,Argentina
Gaucho Andino,Mendoza,Mendoza Province,Argentina
Pradorey,Ribera del Duero,Northern Spain,Spain
Quiévremont,Virginia,Virginia,US
Acrobat,Oregon,Oregon,US
Baglio di Pianetto,Sicilia,Sicily & Sardinia,Italy
Bianchi,Paso Robles,California,US
Canicattì,Sicilia,Sicily & Sardinia,Italy
Castello di Amorosa,Sonoma Coast,California,US
Stemmari,Terre Siciliane,Sicily & Sardinia,Italy
Terre di Giurfo,Cerasuolo di Vittoria,Sicily & Sardinia,Italy
Clarksburg Wine Company,Clarksburg,California,US
Domaine de la Madone,Beaujolais-Villages,Beaujolais,France
Duca di Salaparuta,Sicilia,Sicily & Sardinia,Italy
Envolve,Dry Creek Valley,California,US
Envolve,Sonoma Valley,California,US
Erath,McMinnville,Oregon,US
Estampa,,Colchagua Valley,Chile
Feudi del Pisciotto,Sicilia,Sicily & Sardinia,Italy
Feudi di San Marzano,Puglia,Southern Italy,Italy
Feudo di Santa Tresa,Sicilia,Sicily & Sardinia,Italy
Feudo Montoni,Sicilia,Sicily & Sardinia,Italy
Hawkins Cellars,Willamette Valley,Oregon,US
Henry Fessy,Beaujolais,Beaujolais,France
Robert Hall,Paso Robles,California,US
Sundance,,Maule Valley,Chile
Tarara,Virginia,Virginia,US
Tasca d'Almerita,Sicilia,Sicily & Sardinia,Italy
